StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1757,1096,3104,2.636,0.602,0.114,0.019,20,1.4
caudalmiddlefrontal,3753,2466,6857,2.585,0.412,0.105,0.020,32,3.1
cuneus,3013,1971,4071,1.958,0.495,0.126,0.028,33,3.5
entorhinal,466,297,1491,3.154,0.737,0.092,0.020,3,0.4
fusiform,4252,2865,8473,2.674,0.523,0.119,0.025,45,4.3
inferiorparietal,6164,4196,11557,2.500,0.453,0.116,0.022,63,5.6
inferiortemporal,3827,2776,8480,2.642,0.601,0.138,0.036,58,5.7
isthmuscingulate,1542,1006,2804,2.447,0.905,0.115,0.027,16,1.7
lateraloccipital,7283,4713,11992,2.296,0.487,0.133,0.029,89,8.8
lateralorbitofrontal,4434,3052,8240,2.535,0.623,0.131,0.034,56,6.1
lingual,4659,3074,6699,2.059,0.601,0.128,0.031,54,5.9
medialorbitofrontal,2194,1597,4278,2.414,0.655,0.121,0.032,32,3.0
middletemporal,5731,4126,13993,2.818,0.628,0.127,0.027,80,6.9
parahippocampal,1137,709,2115,2.558,0.694,0.084,0.016,7,0.7
paracentral,2464,1481,3882,2.405,0.598,0.087,0.018,13,1.8
parsopercularis,2308,1540,4091,2.459,0.439,0.109,0.022,22,2.0
parsorbitalis,1064,729,2213,2.584,0.604,0.128,0.029,12,1.2
parstriangularis,2276,1604,4076,2.319,0.474,0.122,0.025,25,2.4
pericalcarine,2413,1614,2382,1.648,0.457,0.112,0.025,19,2.5
postcentral,6999,4400,9504,1.996,0.536,0.103,0.021,55,6.0
posteriorcingulate,1940,1323,3351,2.317,0.677,0.130,0.026,27,2.2
precentral,6831,4311,12319,2.667,0.504,0.100,0.020,44,5.7
precuneus,5016,3422,8955,2.406,0.518,0.121,0.024,51,5.0
rostralanteriorcingulate,1720,1180,3687,2.862,0.758,0.132,0.030,26,2.2
rostralmiddlefrontal,4598,3366,8944,2.376,0.460,0.134,0.027,65,5.2
superiorfrontal,10525,7324,21509,2.615,0.527,0.120,0.026,106,11.0
superiorparietal,6907,4497,11073,2.216,0.434,0.103,0.018,60,5.4
superiortemporal,7637,5144,15998,2.648,0.639,0.103,0.022,70,6.9
supramarginal,5189,3550,10354,2.656,0.538,0.123,0.025,58,5.4
transversetemporal,761,404,1132,2.423,0.301,0.091,0.022,6,0.5
insula,2910,1918,6023,3.168,0.747,0.111,0.028,25,3.2
