StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1062,750,1954,2.240,0.674,0.139,0.023,16,1.2
caudalmiddlefrontal,2050,1411,3702,2.399,0.415,0.113,0.019,19,1.7
cuneus,2751,1675,3127,1.751,0.454,0.119,0.027,30,3.1
entorhinal,530,359,1787,3.476,0.708,0.117,0.026,5,0.5
fusiform,4115,2674,8105,2.700,0.591,0.119,0.026,43,4.2
inferiorparietal,7289,5110,14266,2.612,0.491,0.132,0.026,94,7.9
inferiortemporal,5088,3446,11787,2.850,0.703,0.119,0.027,58,5.8
isthmuscingulate,1119,748,1881,2.146,0.763,0.119,0.026,13,1.2
lateraloccipital,7075,4497,9715,2.023,0.615,0.131,0.030,86,9.0
lateralorbitofrontal,3793,2689,8013,2.603,0.642,0.140,0.035,53,5.9
lingual,4747,3069,6482,1.954,0.627,0.130,0.030,58,6.0
medialorbitofrontal,2115,1559,4196,2.462,0.714,0.147,0.040,36,4.4
middletemporal,5677,3880,12724,2.808,0.571,0.116,0.022,60,5.5
parahippocampal,1087,674,1978,2.545,0.706,0.089,0.018,9,0.9
paracentral,2454,1545,4399,2.506,0.596,0.105,0.018,21,2.0
parsopercularis,1782,1245,3315,2.373,0.508,0.108,0.020,18,1.5
parsorbitalis,1023,725,1896,2.357,0.510,0.142,0.026,13,1.2
parstriangularis,1910,1377,3564,2.314,0.545,0.135,0.025,25,1.9
pericalcarine,2234,1510,1879,1.383,0.342,0.144,0.031,30,3.0
postcentral,5909,3846,9152,2.157,0.560,0.099,0.017,46,4.3
posteriorcingulate,1529,1038,2542,2.226,0.644,0.133,0.029,19,1.9
precentral,6297,4109,10969,2.499,0.468,0.103,0.019,50,5.3
precuneus,5440,3634,8875,2.270,0.520,0.122,0.024,61,5.1
rostralanteriorcingulate,1104,790,2348,2.502,0.579,0.129,0.026,15,1.2
rostralmiddlefrontal,4722,3485,9790,2.252,0.662,0.145,0.039,83,7.8
superiorfrontal,11785,8358,23850,2.516,0.536,0.126,0.026,130,13.4
superiorparietal,5921,3882,9305,2.242,0.463,0.118,0.022,63,5.6
superiortemporal,6180,4105,13349,2.816,0.617,0.106,0.020,51,5.2
supramarginal,3644,2556,7556,2.675,0.485,0.129,0.028,49,4.2
transversetemporal,439,245,599,2.246,0.286,0.104,0.028,11,0.5
insula,2720,1809,5785,3.073,0.758,0.114,0.027,23,2.9
