StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,910,737,2170,2.462,0.729,0.165,0.041,15,1.6
G_and_S_occipital_inf,1368,913,3018,2.684,0.682,0.128,0.025,17,1.3
G_and_S_paracentral,1256,805,2575,2.572,0.688,0.103,0.021,9,1.1
G_and_S_subcentral,1283,895,2770,2.607,0.523,0.115,0.023,13,1.3
G_and_S_transv_frontopol,563,474,1668,2.686,0.771,0.172,0.051,10,1.2
G_and_S_cingul-Ant,1432,973,3291,2.978,0.680,0.111,0.021,10,1.3
G_and_S_cingul-Mid-Ant,1013,679,1971,2.845,0.644,0.111,0.019,9,0.9
G_and_S_cingul-Mid-Post,1095,706,2072,2.632,0.620,0.107,0.018,9,0.8
G_cingul-Post-dorsal,468,335,1486,3.143,0.736,0.146,0.036,8,0.7
G_cingul-Post-ventral,222,145,466,2.676,0.857,0.127,0.032,3,0.2
G_cuneus,1569,1133,2309,1.824,0.526,0.159,0.036,23,2.4
G_front_inf-Opercular,1397,969,3812,2.961,0.568,0.126,0.025,17,1.4
G_front_inf-Orbital,415,288,1100,2.683,0.442,0.130,0.027,9,0.5
G_front_inf-Triangul,1078,756,2758,2.720,0.587,0.127,0.026,15,1.2
G_front_middle,2925,2218,7825,2.681,0.547,0.141,0.030,46,3.6
G_front_sup,5548,4018,15710,3.117,0.655,0.127,0.027,59,6.3
G_Ins_lg_and_S_cent_ins,497,326,1228,3.629,1.005,0.109,0.034,4,0.8
G_insular_short,620,419,2171,3.825,0.662,0.128,0.034,9,0.8
G_occipital_middle,1483,991,3731,2.790,0.556,0.132,0.029,22,1.6
G_occipital_sup,1267,838,2405,2.303,0.683,0.135,0.027,14,1.5
G_oc-temp_lat-fusifor,1524,1008,4077,3.209,0.582,0.124,0.024,21,1.5
G_oc-temp_med-Lingual,2640,1852,4380,2.036,0.680,0.154,0.041,39,4.4
G_oc-temp_med-Parahip,1054,654,2783,2.946,0.813,0.093,0.022,10,0.9
G_orbital,1929,1451,5364,2.763,0.712,0.142,0.036,34,2.8
