StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1034,707,2206,2.582,0.982,0.149,0.024,19,1.1
caudalmiddlefrontal,2130,1552,4525,2.624,0.514,0.120,0.022,21,2.1
cuneus,2663,1619,3290,1.869,0.484,0.119,0.027,29,2.7
entorhinal,474,317,1726,3.395,0.848,0.112,0.029,3,0.5
fusiform,3797,2564,8021,2.807,0.689,0.123,0.029,47,4.5
inferiorparietal,7102,4753,13819,2.569,0.578,0.112,0.021,67,6.0
inferiortemporal,4567,3254,11963,2.955,0.701,0.129,0.030,64,5.8
isthmuscingulate,1163,734,2146,2.488,0.941,0.115,0.027,12,1.1
lateraloccipital,7927,4893,10563,2.009,0.590,0.126,0.031,92,10.0
lateralorbitofrontal,3589,2719,8509,2.671,0.753,0.152,0.045,59,6.3
lingual,3659,2561,5231,1.993,0.650,0.135,0.031,45,5.0
medialorbitofrontal,2047,1485,4463,2.480,0.755,0.115,0.033,28,2.6
middletemporal,5659,3847,13140,2.828,0.725,0.110,0.023,57,5.3
parahippocampal,993,609,2388,3.139,0.801,0.087,0.019,6,0.7
paracentral,1935,1225,3567,2.700,0.575,0.091,0.015,10,1.3
parsopercularis,1867,1288,3721,2.660,0.524,0.107,0.020,16,1.5
parsorbitalis,965,712,2638,2.941,0.609,0.127,0.024,11,1.0
parstriangularis,1626,1183,3625,2.575,0.638,0.128,0.025,23,1.7
pericalcarine,1736,1222,1758,1.624,0.450,0.121,0.028,15,2.0
postcentral,6030,3986,10916,2.383,0.681,0.104,0.019,49,4.7
posteriorcingulate,1549,1108,3150,2.469,0.879,0.134,0.026,20,1.8
precentral,5854,3896,11338,2.633,0.646,0.108,0.020,46,4.7
precuneus,5129,3515,9842,2.502,0.626,0.113,0.021,51,4.3
rostralanteriorcingulate,843,570,1842,2.580,0.841,0.123,0.023,11,0.8
rostralmiddlefrontal,3730,2863,8936,2.692,0.606,0.147,0.036,61,6.0
superiorfrontal,10069,7360,25490,2.899,0.656,0.124,0.026,108,10.8
superiorparietal,6037,3957,9727,2.220,0.466,0.112,0.020,61,4.8
superiortemporal,6043,4068,16477,3.233,0.843,0.103,0.022,52,4.9
supramarginal,4964,3380,9758,2.560,0.574,0.117,0.022,50,4.5
transversetemporal,511,302,999,2.755,0.305,0.113,0.026,5,0.5
insula,2795,1880,6576,3.374,0.802,0.103,0.022,22,2.4
