Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,9623,9934.5,Left-Lateral-Ventricle,28.9447,12.2526,3.0000,93.0000,90.0000
2,5,276,319.0,Left-Inf-Lat-Vent,50.1304,13.8145,5.0000,85.0000,80.0000
3,7,12691,13376.5,Left-Cerebellum-White-Matter,87.4075,5.7089,30.0000,104.0000,74.0000
4,8,51658,51271.6,Left-Cerebellum-Cortex,67.4807,10.2235,10.0000,101.0000,91.0000
5,10,7565,7195.8,Left-Thalamus,87.4871,9.0146,30.0000,110.0000,80.0000
6,11,3798,3779.2,Left-Caudate,78.8747,7.5264,40.0000,103.0000,63.0000
7,12,5444,5377.6,Left-Putamen,88.1677,5.7371,57.0000,107.0000,50.0000
8,13,2261,2268.0,Left-Pallidum,99.9443,3.8639,67.0000,113.0000,46.0000
9,14,845,887.0,3rd-Ventricle,41.4213,13.6707,9.0000,78.0000,69.0000
10,15,1661,1745.1,4th-Ventricle,31.0042,11.6701,12.0000,68.0000,56.0000
11,16,20310,20167.3,Brain-Stem,82.4981,9.1491,23.0000,117.0000,94.0000
12,17,4855,4650.7,Left-Hippocampus,71.0894,7.7349,22.0000,102.0000,80.0000
13,18,1616,1672.1,Left-Amygdala,73.2160,5.3858,49.0000,90.0000,41.0000
14,24,984,988.8,CSF,50.0610,12.8686,21.0000,113.0000,92.0000
15,26,493,512.7,Left-Accumbens-area,76.6957,3.5131,61.0000,89.0000,28.0000
16,28,3863,3703.0,Left-VentralDC,92.0554,10.7030,30.0000,125.0000,95.0000
17,30,44,56.3,Left-vessel,58.2273,12.0384,21.0000,73.0000,52.0000
18,31,785,720.1,Left-choroid-plexus,50.3223,11.9053,22.0000,87.0000,65.0000
19,43,8172,8377.8,Right-Lateral-Ventricle,30.5389,13.4825,3.0000,98.0000,95.0000
20,44,368,397.7,Right-Inf-Lat-Vent,38.5870,14.1755,6.0000,68.0000,62.0000
21,46,11411,12334.3,Right-Cerebellum-White-Matter,87.5438,5.2011,36.0000,106.0000,70.0000
22,47,52756,52006.6,Right-Cerebellum-Cortex,68.6856,10.0021,10.0000,99.0000,89.0000
23,49,7202,6836.4,Right-Thalamus,86.4890,9.2907,25.0000,108.0000,83.0000
24,50,3549,3532.2,Right-Caudate,78.1834,8.0023,47.0000,102.0000,55.0000
25,51,5601,5529.5,Right-Putamen,88.0737,7.0775,51.0000,110.0000,59.0000
26,52,1931,1920.6,Right-Pallidum,101.0342,3.6263,75.0000,111.0000,36.0000
27,53,4912,4806.8,Right-Hippocampus,70.4194,7.2402,29.0000,99.0000,70.0000
28,54,1451,1458.1,Right-Amygdala,68.5486,6.5658,40.0000,93.0000,53.0000
29,58,772,745.3,Right-Accumbens-area,75.1580,4.7214,52.0000,92.0000,40.0000
30,60,4144,3941.1,Right-VentralDC,90.8880,10.9396,39.0000,119.0000,80.0000
31,62,1,3.9,Right-vessel,64.0000,0.0000,64.0000,64.0000,0.0000
32,63,664,555.4,Right-choroid-plexus,50.4654,12.8195,21.0000,80.0000,59.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,1133,1009.7,WM-hypointensities,68.0477,14.5556,14.0000,101.0000,87.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,0,0.0,non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,125,123.4,Optic-Chiasm,82.9600,20.7113,34.0000,119.0000,85.0000
41,251,1169,1101.7,CC_Posterior,99.6561,11.8373,39.0000,117.0000,78.0000
42,252,733,652.0,CC_Mid_Posterior,91.1569,19.2420,30.0000,118.0000,88.0000
43,253,597,556.9,CC_Central,98.5578,15.9822,40.0000,120.0000,80.0000
44,254,762,692.0,CC_Mid_Anterior,94.0079,17.0845,26.0000,120.0000,94.0000
45,255,845,800.0,CC_Anterior,101.0355,16.0750,13.0000,121.0000,108.0000
