StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,1320,962,2328,2.166,0.619,0.137,0.029,15,1.6
G_and_S_occipital_inf,1259,840,2898,2.777,0.705,0.117,0.024,13,1.3
G_and_S_paracentral,1759,1040,3004,2.416,0.589,0.091,0.018,13,1.2
G_and_S_subcentral,2161,1390,3955,2.542,0.516,0.120,0.022,23,1.9
G_and_S_transv_frontopol,946,740,2368,2.505,0.559,0.177,0.045,25,1.8
G_and_S_cingul-Ant,2621,1800,5346,2.650,0.595,0.118,0.019,28,2.3
G_and_S_cingul-Mid-Ant,1641,1080,3078,2.619,0.592,0.112,0.016,16,1.1
G_and_S_cingul-Mid-Post,1584,1038,2943,2.574,0.539,0.109,0.018,13,1.3
G_cingul-Post-dorsal,872,577,2139,2.924,0.611,0.127,0.027,10,1.0
G_cingul-Post-ventral,427,272,887,2.708,0.800,0.126,0.026,7,0.4
G_cuneus,2747,1809,3610,1.811,0.440,0.143,0.034,36,3.9
G_front_inf-Opercular,1589,1063,3879,2.821,0.482,0.118,0.022,20,1.4
G_front_inf-Orbital,663,419,1610,2.855,0.483,0.147,0.030,12,0.8
G_front_inf-Triangul,1063,738,2768,2.809,0.576,0.131,0.027,13,1.3
G_front_middle,4953,3611,12385,2.596,0.587,0.137,0.028,77,5.6
G_front_sup,6536,4556,16386,2.855,0.575,0.123,0.023,69,6.4
G_Ins_lg_and_S_cent_ins,776,518,1732,3.205,0.776,0.122,0.034,7,1.0
G_insular_short,838,567,2628,3.559,0.733,0.119,0.028,11,0.9
G_occipital_middle,2520,1578,5100,2.614,0.565,0.120,0.026,32,2.5
G_occipital_sup,1948,1170,2640,2.066,0.572,0.121,0.029,23,2.2
G_oc-temp_lat-fusifor,2145,1460,5498,2.935,0.547,0.134,0.030,35,2.6
G_oc-temp_med-Lingual,4022,2730,5602,1.807,0.649,0.137,0.034,55,5.7
G_oc-temp_med-Parahip,1417,906,3974,3.087,0.839,0.095,0.024,10,1.1
G_orbital,2454,1795,6148,2.580,0.671,0.140,0.033,42,3.4
G_pariet_inf-Angular,3151,2218,7173,2.552,0.538,0.130,0.024,46,3.3
G_pariet_inf-Supramar,3636,2492,8128,2.616,0.591,0.130,0.026,51,3.7
G_parietal_sup,3038,2069,6070,2.369,0.553,0.111,0.019,32,2.4
G_postcentral,2131,1257,3637,2.242,0.654,0.100,0.023,20,1.8
G_precentral,2871,1586,6584,3.126,0.554,0.094,0.019,23,2.1
G_precuneus,3174,2174,7737,2.768,0.520,0.138,0.030,49,3.8
G_rectus,996,689,1830,2.151,0.584,0.131,0.024,14,1.1
G_subcallosal,889,583,1739,2.917,0.875,0.117,0.038,11,1.1
G_temp_sup-G_T_transv,766,446,1241,2.232,0.370,0.078,0.014,5,0.4
G_temp_sup-Lateral,2070,1348,5834,3.016,0.604,0.115,0.023,27,2.0
G_temp_sup-Plan_polar,891,570,2018,3.351,0.749,0.071,0.012,3,0.5
G_temp_sup-Plan_tempo,974,669,1842,2.473,0.376,0.085,0.013,6,0.5
G_temporal_inf,2672,1899,7513,2.930,0.720,0.127,0.029,41,3.1
G_temporal_middle,2723,1759,8274,3.184,0.652,0.121,0.025,37,2.6
Lat_Fis-ant-Horizont,352,245,432,1.896,0.344,0.095,0.012,2,0.2
Lat_Fis-ant-Vertical,360,237,470,2.259,0.299,0.076,0.011,1,0.1
Lat_Fis-post,1042,696,1318,2.520,0.429,0.118,0.024,8,1.1
Pole_occipital,2696,1690,3156,1.739,0.588,0.136,0.034,38,4.0
Pole_temporal,1712,1275,6114,3.350,0.653,0.136,0.032,23,2.4
S_calcarine,3935,2753,3872,1.593,0.545,0.133,0.027,42,4.8
S_central,2908,1944,3368,1.920,0.658,0.096,0.017,14,2.2
S_cingul-Marginalis,1148,749,1476,2.140,0.438,0.085,0.012,5,0.6
S_circular_insula_ant,790,520,1124,2.521,0.473,0.100,0.017,3,0.7
S_circular_insula_inf,1315,830,1914,2.812,0.498,0.085,0.012,6,0.6
S_circular_insula_sup,1839,1216,2494,2.539,0.495,0.104,0.019,9,1.5
S_collat_transv_ant,1022,681,1400,2.428,0.447,0.095,0.013,5,0.6
S_collat_transv_post,624,401,687,2.188,0.381,0.127,0.027,5,0.7
S_front_inf,2679,1802,3681,2.111,0.481,0.110,0.020,21,2.3
S_front_middle,1804,1297,2769,2.083,0.530,0.134,0.026,19,2.2
S_front_sup,3107,2087,4676,2.355,0.472,0.097,0.016,17,2.1
S_interm_prim-Jensen,293,200,442,2.275,0.536,0.124,0.021,2,0.4
S_intrapariet_and_P_trans,3347,2205,4207,2.071,0.362,0.105,0.018,25,2.4
S_oc_middle_and_Lunatus,1146,748,1308,2.044,0.419,0.116,0.026,7,1.3
S_oc_sup_and_transversal,1870,1198,2393,2.158,0.394,0.113,0.018,14,1.5
S_occipital_ant,675,416,1147,2.530,0.466,0.088,0.012,4,0.3
S_oc-temp_lat,945,663,1511,2.521,0.387,0.107,0.016,8,0.7
S_oc-temp_med_and_Lingual,2349,1571,3548,2.534,0.464,0.102,0.017,14,1.6
S_orbital_lateral,328,246,550,2.068,0.594,0.145,0.033,4,0.4
S_orbital_med-olfact,755,487,865,2.272,0.545,0.097,0.016,4,0.5
S_orbital-H_Shaped,1360,960,2491,2.595,0.695,0.129,0.028,14,1.6
S_parieto_occipital,2411,1600,3319,2.313,0.460,0.096,0.015,14,1.5
S_pericallosal,1512,915,1277,1.616,0.562,0.116,0.016,21,1.0
S_postcentral,3362,2190,4341,2.101,0.471,0.104,0.017,23,2.4
S_precentral-inf-part,1838,1234,2673,2.335,0.461,0.105,0.016,13,1.4
S_precentral-sup-part,1201,807,1866,2.636,0.367,0.088,0.014,5,0.7
S_suborbital,983,669,1446,2.123,0.445,0.120,0.016,13,0.7
S_subparietal,1290,876,1995,2.405,0.481,0.107,0.018,7,1.0
S_temporal_inf,1942,1289,2662,2.486,0.462,0.109,0.019,12,1.7
S_temporal_sup,6151,4022,9252,2.494,0.476,0.092,0.014,34,3.8
S_temporal_transverse,597,403,712,2.146,0.281,0.090,0.011,3,0.3
