StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1580,1033,2479,2.522,0.355,0.100,0.019,9,1.3
caudalanteriorcingulate,1556,1049,2524,2.223,0.620,0.126,0.020,21,1.2
caudalmiddlefrontal,3795,2522,6226,2.288,0.411,0.110,0.019,30,3.3
cuneus,3322,2236,4339,1.834,0.478,0.138,0.028,42,4.0
entorhinal,559,366,1640,3.119,0.706,0.115,0.030,7,0.6
fusiform,5758,3756,10453,2.570,0.517,0.105,0.022,51,4.8
inferiorparietal,9440,6305,16059,2.344,0.444,0.110,0.022,89,8.3
inferiortemporal,6135,4264,12829,2.576,0.664,0.128,0.028,86,6.9
isthmuscingulate,1433,946,2488,2.406,0.681,0.128,0.033,17,1.8
lateraloccipital,9720,6501,14469,2.107,0.544,0.139,0.031,124,12.6
lateralorbitofrontal,3816,2667,6743,2.343,0.650,0.127,0.031,47,4.7
lingual,5263,3608,7708,1.976,0.572,0.135,0.032,65,7.0
medialorbitofrontal,3088,2179,5001,2.039,0.621,0.120,0.024,40,3.1
middletemporal,6163,4299,13627,2.671,0.554,0.122,0.025,68,6.2
parahippocampal,1352,827,2047,2.193,0.553,0.070,0.012,6,0.6
paracentral,3116,1902,4547,2.346,0.442,0.104,0.025,24,2.8
parsopercularis,2294,1500,3642,2.289,0.394,0.099,0.019,17,1.7
parsorbitalis,1503,1062,2880,2.337,0.606,0.136,0.030,22,1.7
parstriangularis,2696,1933,4574,2.110,0.438,0.126,0.023,32,2.7
pericalcarine,2941,2019,2677,1.490,0.351,0.138,0.033,36,3.9
postcentral,7870,4991,10378,1.927,0.491,0.101,0.019,64,6.3
posteriorcingulate,1890,1309,3404,2.444,0.496,0.122,0.025,20,2.0
precentral,9107,5687,14291,2.418,0.533,0.103,0.022,68,8.0
precuneus,7158,4873,11154,2.242,0.446,0.128,0.028,79,8.3
rostralanteriorcingulate,1010,736,2068,2.390,0.585,0.132,0.034,16,1.1
rostralmiddlefrontal,9765,6864,15131,1.980,0.454,0.127,0.027,127,10.5
superiorfrontal,12289,8197,20407,2.280,0.476,0.114,0.022,107,11.2
superiorparietal,8814,5769,12715,2.075,0.381,0.113,0.020,84,7.3
superiortemporal,7176,4678,13373,2.623,0.538,0.105,0.019,60,5.7
supramarginal,6383,4237,10389,2.300,0.460,0.109,0.020,62,5.2
frontalpole,528,393,986,2.036,0.510,0.148,0.033,11,0.9
temporalpole,706,525,2674,3.568,1.009,0.126,0.037,9,0.9
transversetemporal,727,405,935,2.142,0.427,0.105,0.023,7,0.6
insula,4493,2922,8115,2.789,0.777,0.111,0.025,38,4.6
